pid,sentence1,sentence2
6544,i want to change my departure,Can you change the departure date and check
34974,What are the key features of Criticare,What are the key features of WAAC
15076,Help me with the Key Features,Tell me the key features of WAAC
67273,Give me more results,Show more reminders for Haptik
5142,"Hey, can you set a reminder for me to jog?  . .",schedule a reminder
16258,I want to delete all my reminders,i would like to cancel wake up call
37362,What are the key features of WAAC,Need to know the features of WAAC
26130,Did not receive confirmation,Did not receive confirmation email
56260,show bollywood leaderboard,show yesterdays bollywood leaderboard
70012,Alarm to drink water,I need a reminder to drink water
7692,I want to book flight,Help me flight booking
21232,I need a call to remind me to drink water,Remind me to drink water
5736,what is the procedure to change the address,How to change my address
61925,share your advertising rate card,Advertising rate card
41979,I want to get a flight booked,I would like to book a flight ticket
53710,Jokes in hindi,Please only one joke in hindi
28440,Coupon,Cashback not receive
52887,I want to apply for a loan,I want to apply for home loans online
68534,reminder exercise,cancel my exercise reminder
20325,Where to apply coupon code for trains,How can I use coupon code in flights
71729,This is not my Horoscope,What is my horoscope I don't know?
67600,May I know the cricket prize,May I know the prize for bollywood
46693,Daily motivational quote modification,Send me daily motivation
56003,total secure +,what is the premium for Total Secure
60439,Please give me your pic,Your pic pls
3578,make a reminder exercise,set a reminder exercise
64189,I want to check report,i want to check in
5003,Is cashback offer valid for products bought today,use cashback on offers
47949,want to install safety door,I need nameplate to be installed for my unit.
71311,send ticket softcopy,Send me the ticket on my mail
2429,eligibility,wealth plus eligibility
22820,How much time do you take to solve a complaint?,"How much time will it take for delivering ?
What are the timings for delivery ?
Can I get a delivery in Sundays & Holidays and also during morning / evening hours ?"
15545,Can you give me a pdf of my ticket ETicket no is E7STHI indigo airlines,Jet Airways flights
46641,I want to know more about life cover.,I would like to know more about Term Insurance from Coverfox
37616,Need invoice of my air tickets,NEED INVOICE OF MY REPORT
51493,I gave the right order ID,I can't find my order ID
26813,I need to download the payment receipts,I want to download my report
56207,got pin,not getting pin
52175,I want to know the flight prices to Delhi,Tell me exact fare from Mumbai to mangalore
17228,i want offline payout,offline payout
33777,It is taking long time,Refund how long will it take
24725,Tell me what you do.,Who tells you what to do?
7545,how to uninstall the app,I want to uninstall the app
9536,NEED INVOICE OF MY REPORT,I need invoices
74499,want reminder for birthday,i want reminder
910,I want offers on flights,Is there student concession flights
7648,What time is it?,What time is it now
38463,Landline bill payment is available?,Bill payment
67843,How do we adjust the GST impact?,adjust GST impact
44805,Stop notifying with flight alerts,stop alert flight
2556,I don't want to play,I want to play the predict and win quiz
5024,I didnt receive any cash back,I have done Web check-in haptik but I didnt receive any mail
39805,gk Terms & Conditions,gk Terms
39427,postpaid payment failed,Money deducted yet payment failed from haptik
11058,wana book a flight,Book flights
4180,provide me Flight Tickets,Pls send flight status
35666,Status of PNR train,railway pnr
58658,Cancel this train booking reminder,Book train
57366,"Hi, It's dinner time, get your assistant to order food for you right now! :)  .","Hi, It's lunch time, get your assistant to order food for you right now!   ."
42499,Receiving Error message while getting connected,Receiving error message
52119,I would like to cancel my Word of the day subscription,I want to cancel horoscope subscription
22324,schedule a reminder jog,schedule a reminder medicine
38839,I need to book a flight,I would like to book a flight ticket
477,How much amount I will get cash back if I book this flight,Book a flight
40800,cash back not received,I had not received cash back
22610,Is it necessary to link Bank account with Trading account?,How to link multiple account?
10321,won't repay loan amount,Assign Loan Amount
51709,I didnt receive messages.,Havent received cashback
4206,Alarm to drink water,Set an alarm for me to jog someone
12970,update the nominee,I want to update nominee
67027,remove my reminder,I would like to cancel my Reminder
68114,i want to create account,Can I update an offer made to a borrower?
38718,corporate tour includes,customize corporate tours
23982,Please give me your pic,can you give me ur number
40968,Still cant connect,why cant i connect?
11500,Didnt receive cashback,I did not receive mail yet
58398,any offers on bus tickets,Any bus ticket available
64841,available train tickets from vizag to Mumbai,check price for flight from mumbai to pune
63283,set a reminder medicine,Can you schedule a reminder for meeting
70675,Send the blood test result,Blood test today
23534,I want to know more about Haptik's Feedback Bot.,I want to know more about Haptik's Support Bot.
68912,Blood test results of,Need to have a blood test at home
37610,This is the correct order ID,I gave the correct ID.
41097,coloring of house,i want to get my house colored
20216,mother fucker,Bullshit jokes
11495,I gave you the right number,I gave the right ID
42497,recommend me some cafe nearby,looking for nearest cafe
54182,Terms and Conditions,cricket Terms and Conditions
61073,Wouldn't let me pay for ticket,I had a hard time paying for my ticket
40170,No need of reminder,Thanks but I don't need
7228,I want your number,Give me your number
52972,I want my money back,Muje cash back nahi mila
68192,Any Coupons available on uber booking.,want to buy uber
18236,I gave the correct order ID,Can't find order ID
57513,What papers should I submit?,Can I submit my papers later?
2801,stop the flight alerts,Flight alerts
58663,check for trains from mumbai to delhi,i want to go from mumbai to pune
38175,Send me your pic,I want your number
45034,why is auto permission needed,why is this permission needed
24436,I want to know about the price of another test,Can you keep me updated about the price
13027,How much is the refill price,Refill price
68529,"Hi, I want to check the PNR status of a train .",I want to check flights
13961,I want to delete all my reminders,show all my reminders
21999,Please assist,Help Desk
42350,Give me best offers on trains,you look beautiful
4000,sir I am cashback not receive,No cashback is yet credited
68411,my order,is my order successful
18013,I need a reminder to drink water,I would like to view my reminder
67000,My lab ID is,I don't have lab ID
24834,I want to book flight tickets for Guru Nank Jayanti,I need to book a flight
7755,I don't want to play,I want to play another quiz
13226,What's your job?,What is your name
